skill_name	source_repo	file_path	file_size	line_count
skill-creator	anthropics-skills	sources/anthropics-skills/skills/skill-creator//SKILL.md	33653	485
bash-pro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bash-pro//SKILL.md	18685	315
podcast-generation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/podcast-generation//SKILL.md	3687	127
slack-gif-creator	anthropics-skills	sources/anthropics-skills/skills/slack-gif-creator//SKILL.md	8095	254
api-security-best-practices	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/api-security-best-practices//SKILL.md	24368	910
bash-scripting	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bash-scripting//SKILL.md	4121	196
polars	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/polars//SKILL.md	10167	392
bats-testing-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bats-testing-patterns//SKILL.md	1379	37
theme-factory	anthropics-skills	sources/anthropics-skills/skills/theme-factory//SKILL.md	3183	59
api-security-testing	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/api-security-testing//SKILL.md	3777	171
popup-cro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/popup-cro//SKILL.md	7135	352
bazel-build-optimization	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bazel-build-optimization//SKILL.md	10453	400
web-artifacts-builder	anthropics-skills	sources/anthropics-skills/skills/web-artifacts-builder//SKILL.md	3160	73
posix-shell-pro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/posix-shell-pro//SKILL.md	15530	303
api-testing-observability-api-mock	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/api-testing-observability-api-mock//SKILL.md	2018	49
bdi-mental-states	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bdi-mental-states//SKILL.md	10412	296
webapp-testing	anthropics-skills	sources/anthropics-skills/skills/webapp-testing//SKILL.md	4008	95
apify-actor-development	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-actor-development//SKILL.md	12948	227
postgres-best-practices	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/postgres-best-practices//SKILL.md	2031	58
bdistill-behavioral-xray	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bdistill-behavioral-xray//SKILL.md	3355	86
xlsx	anthropics-skills	sources/anthropics-skills/skills/xlsx//SKILL.md	11754	291
postgresql-optimization	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/postgresql-optimization//SKILL.md	3977	174
bdistill-knowledge-extraction	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bdistill-knowledge-extraction//SKILL.md	3502	105
apify-actorization	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-actorization//SKILL.md	6692	185
00-andruia-consultant	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/00-andruia-consultant//SKILL.md	2953	60
postgresql	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/postgresql//SKILL.md	17206	233
apify-audience-analysis	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-audience-analysis//SKILL.md	5102	128
beautiful-prose	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/beautiful-prose//SKILL.md	5415	197
007	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/007//SKILL.md	23346	650
apify-brand-reputation-monitoring	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-brand-reputation-monitoring//SKILL.md	4773	128
posthog-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/posthog-automation//SKILL.md	8353	228
behavioral-modes	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/behavioral-modes//SKILL.md	5756	247
10-andruia-skill-smith	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/10-andruia-skill-smith//SKILL.md	2274	44
postmark-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/postmark-automation//SKILL.md	8217	191
apify-competitor-intelligence	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-competitor-intelligence//SKILL.md	5787	138
bevy-ecs-expert	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bevy-ecs-expert//SKILL.md	3521	136
20-andruia-niche-intelligence	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/20-andruia-niche-intelligence//SKILL.md	3631	61
apify-content-analytics	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-content-analytics//SKILL.md	4691	127
bill-gates	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bill-gates//SKILL.md	37625	811
postmortem-writing	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/postmortem-writing//SKILL.md	12860	389
3d-web-experience	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/3d-web-experience//SKILL.md	8482	374
billing-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/billing-automation//SKILL.md	1606	45
powershell-windows	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/powershell-windows//SKILL.md	3783	172
apify-ecommerce	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-ecommerce//SKILL.md	9130	271
pptx-official	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pptx-official//SKILL.md	26142	489
binary-analysis-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/binary-analysis-patterns//SKILL.md	10298	453
apify-influencer-discovery	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-influencer-discovery//SKILL.md	4820	125
SPDD	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/SPDD/1-research.md	1340	21
pr-writer	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pr-writer//SKILL.md	5334	191
biopython	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/biopython//SKILL.md	14264	442
apify-lead-generation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-lead-generation//SKILL.md	4663	127
bitbucket-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bitbucket-automation//SKILL.md	12466	227
ab-test-setup	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/ab-test-setup//SKILL.md	5182	238
price-psychology-strategist	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/price-psychology-strategist//SKILL.md	4968	114
apify-market-research	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-market-research//SKILL.md	4513	126
pricing-strategy	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pricing-strategy//SKILL.md	7481	362
acceptance-orchestrator	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/acceptance-orchestrator//SKILL.md	3406	112
blockchain-developer	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/blockchain-developer//SKILL.md	9979	206
apify-trend-analysis	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-trend-analysis//SKILL.md	4527	128
blockrun	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/blockrun//SKILL.md	9113	293
prisma-expert	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prisma-expert//SKILL.md	10713	361
accessibility-compliance-accessibility-audit	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/accessibility-compliance-accessibility-audit//SKILL.md	2003	45
apify-ultimate-scraper	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/apify-ultimate-scraper//SKILL.md	9981	237
blog-writing-guide	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/blog-writing-guide//SKILL.md	8398	163
privacy-by-design	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/privacy-by-design//SKILL.md	7331	208
active-directory-attacks	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/active-directory-attacks//SKILL.md	10150	389
app-builder	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/app-builder//SKILL.md	3356	80
blueprint	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/blueprint//SKILL.md	2834	70
privilege-escalation-methods	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/privilege-escalation-methods//SKILL.md	8501	337
activecampaign-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/activecampaign-automation//SKILL.md	8593	213
app-store-changelog	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/app-store-changelog//SKILL.md	3097	75
box-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/box-automation//SKILL.md	12531	236
product-design	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/product-design//SKILL.md	11120	358
ad-creative	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/ad-creative//SKILL.md	13805	371
app-store-optimization	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/app-store-optimization//SKILL.md	17102	409
brainstorming	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/brainstorming//SKILL.md	5421	232
product-inventor	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/product-inventor//SKILL.md	24400	660
product-manager-toolkit	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/product-manager-toolkit//SKILL.md	9246	357
address-github-comments	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/address-github-comments//SKILL.md	1450	61
appdeploy	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/appdeploy//SKILL.md	9154	205
brand-guidelines-anthropic	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/brand-guidelines-anthropic//SKILL.md	2292	78
product-manager	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/product-manager//SKILL.md	2220	49
adhx	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/adhx//SKILL.md	4046	127
brand-guidelines-community	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/brand-guidelines-community//SKILL.md	2292	78
application-performance-performance-optimization	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/application-performance-performance-optimization//SKILL.md	11359	157
product-marketing-context	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/product-marketing-context//SKILL.md	7823	250
advanced-evaluation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/advanced-evaluation//SKILL.md	17977	456
brand-guidelines	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/brand-guidelines//SKILL.md	5702	176
production-code-audit	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/production-code-audit//SKILL.md	16440	543
architect-review	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/architect-review//SKILL.md	8421	172
production-scheduling	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/production-scheduling//SKILL.md	28635	214
advogado-criminal	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/advogado-criminal//SKILL.md	39795	950
brand-perception-psychologist	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/brand-perception-psychologist//SKILL.md	5190	115
architecture-decision-records	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/architecture-decision-records//SKILL.md	13436	444
professional-proofreader	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/professional-proofreader//SKILL.md	2863	105
advogado-especialista	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/advogado-especialista//SKILL.md	44780	1109
brevo-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/brevo-automation//SKILL.md	8043	201
architecture-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/architecture-patterns//SKILL.md	1976	45
broken-authentication	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/broken-authentication//SKILL.md	13074	480
programmatic-seo	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/programmatic-seo//SKILL.md	7675	351
aegisops-ai	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/aegisops-ai//SKILL.md	5150	124
architecture	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/architecture//SKILL.md	1946	60
browser-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/browser-automation//SKILL.md	30270	1112
progressive-estimation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/progressive-estimation//SKILL.md	3238	84
agent-evaluation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-evaluation//SKILL.md	37770	1131
arm-cortex-expert	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/arm-cortex-expert//SKILL.md	13127	302
progressive-web-app	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/progressive-web-app//SKILL.md	12970	352
browser-extension-builder	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/browser-extension-builder//SKILL.md	9239	381
agent-framework-azure-ai-py	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-framework-azure-ai-py//SKILL.md	10362	338
asana-automation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/asana-automation//SKILL.md	6323	175
project-development	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/project-development//SKILL.md	15008	343
bug-hunter	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bug-hunter//SKILL.md	7976	379
agent-manager-skill	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-manager-skill//SKILL.md	1154	42
ask-questions-if-underspecified	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/ask-questions-if-underspecified//SKILL.md	4104	86
build	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/build//SKILL.md	17732	650
project-skill-audit	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/project-skill-audit//SKILL.md	8237	190
agent-memory-mcp	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-memory-mcp//SKILL.md	2328	87
projection-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/projection-patterns//SKILL.md	1143	36
astro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/astro//SKILL.md	10581	359
building-native-ui	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/building-native-ui//SKILL.md	11168	329
bullmq-specialist	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bullmq-specialist//SKILL.md	10269	393
prometheus-configuration	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prometheus-configuration//SKILL.md	11035	407
agent-memory-systems	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-memory-systems//SKILL.md	31952	1084
astropy	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/astropy//SKILL.md	11570	330
prompt-caching	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prompt-caching//SKILL.md	13588	479
bun-development	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/bun-development//SKILL.md	14853	696
agent-orchestration-improve-agent	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-orchestration-improve-agent//SKILL.md	10539	352
async-python-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/async-python-patterns//SKILL.md	1761	42
burp-suite-testing	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/burp-suite-testing//SKILL.md	11443	386
attack-tree-construction	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/attack-tree-construction//SKILL.md	1536	43
prompt-engineer	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prompt-engineer//SKILL.md	11033	248
agent-orchestration-multi-agent-optimize	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-orchestration-multi-agent-optimize//SKILL.md	7081	242
burpsuite-project-parser	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/burpsuite-project-parser//SKILL.md	12884	359
audio-transcriber	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/audio-transcriber//SKILL.md	15782	554
prompt-engineering-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prompt-engineering-patterns//SKILL.md	7539	216
agent-orchestrator	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-orchestrator//SKILL.md	9795	316
business-analyst	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/business-analyst//SKILL.md	7963	180
prompt-engineering	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prompt-engineering//SKILL.md	5998	177
audit-context-building	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/audit-context-building//SKILL.md	10001	303
agent-tool-builder	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agent-tool-builder//SKILL.md	19480	710
busybox-on-windows	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/busybox-on-windows//SKILL.md	2100	35
prompt-library	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/prompt-library//SKILL.md	7899	325
audit-skills	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/audit-skills//SKILL.md	6006	130
c-pro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/c-pro//SKILL.md	1583	54
agentflow	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agentflow//SKILL.md	8064	199
protect-mcp-governance	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/protect-mcp-governance//SKILL.md	9284	286
auri-core	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/auri-core//SKILL.md	21202	598
c4-architecture-c4-architecture	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/c4-architecture-c4-architecture//SKILL.md	16980	392
protocol-reverse-engineering	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/protocol-reverse-engineering//SKILL.md	1116	32
agentfolio	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agentfolio//SKILL.md	4258	96
c4-code	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/c4-code//SKILL.md	8027	241
auth-implementation-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/auth-implementation-patterns//SKILL.md	1442	42
pubmed-database	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pubmed-database//SKILL.md	16062	460
agentic-actions-auditor	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agentic-actions-auditor//SKILL.md	20820	332
c4-component	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/c4-component//SKILL.md	4861	150
autonomous-agent-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/autonomous-agent-patterns//SKILL.md	23790	764
pydantic-ai	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/pydantic-ai//SKILL.md	12164	350
c4-container	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/c4-container//SKILL.md	5480	168
agentmail	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/agentmail//SKILL.md	8838	253
autonomous-agents	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/autonomous-agents//SKILL.md	30607	1080
